成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,投信,自營商,外資
"1,415,345,372",84.1,84.3,83.5,83.5,-0.30,"8,054",-854,450,-105
"1,337,490,566",83.9,84.1,83.6,84.0,+0.50,"6,474",163,-497,5539
"2,363,577,420",84.4,84.4,83.4,84.2,+0.20,"12,424",134,-559,11392
"2,443,370,656",84.2,84.4,83.6,84.3,+0.10,"12,028",-461,-1643,16505
"1,923,697,754",84.3,84.4,83.9,84.2,-0.10,"8,941",138,-429,4601
"1,379,370,729",84.0,84.0,83.5,83.5,-0.70,"7,378",200,311,-3216
"1,222,155,239",83.8,84.0,83.5,84.0,+0.50,"8,228",75,-485,-749
"1,622,184,471",84.0,84.1,83.3,83.3,-0.70,"8,782",-27,-1405,1317
"2,163,893,353",83.3,83.8,83.0,83.5,+0.20,"7,824",499,-3482,-2765
"1,702,872,266",84.0,84.0,83.4,83.4,-0.10,"7,397",261,-3950,2875
"2,334,639,337",83.5,84.0,83.4,84.0,+0.60,"10,370",104,364,8175
"2,131,316,435",83.6,84.0,83.6,83.7,-0.30,"9,903",-202,-641,1267
"6,472,870,782",85.7,85.7,83.2,84.1,+0.40,"24,016",-147,345,5162
"3,593,104,469",83.8,84.1,83.5,83.7,-0.40,"12,623",-335,5882,-13241
"3,962,892,826",84.2,85.0,84.0,85.0,+1.30,"17,113",55,-1870,19685
"5,110,915,805",85.5,85.8,84.6,85.8,+0.80,"25,510",-457,-1996,28106
"8,910,275,137",86.0,87.5,85.8,87.5,+1.70,"42,662",1285,3225,27635
"8,569,636,686",88.0,88.9,87.7,88.9,+1.40,"39,691",1370,1352,41812
"7,412,105,000",89.0,89.8,88.5,89.1,+0.20,"29,589",1106,-2786,25319
"4,778,802,967",89.4,89.9,88.8,89.9,+0.80,"23,985",1123,-399,20669
"6,710,505,927",90.6,90.7,89.6,90.0,+0.10,"27,450",457,-3470,34055
"6,864,474,320",90.5,91.0,90.1,90.9,+0.90,"34,106",435,872,36236
"4,374,391,419",91.5,91.8,90.0,91.0,+0.10,"22,560",355,-1517,19155
"2,743,524,430",90.4,90.9,90.0,90.0,-1.00,"13,910",223,-123,5977
"1,018,267,228",90.0,90.3,89.6,89.9,-0.10,"6,379",231,370,81
"2,488,888,596",90.0,90.2,89.8,90.1,+0.20,"11,128",-109,-933,14537
"3,138,985,880",91.0,91.0,89.8,90.5,+0.40,"14,733",445,288,11219
"2,553,170,679",90.7,90.9,90.0,90.5, 0.00,"12,293",46,997,8748
"3,107,744,965",89.8,90.7,89.8,90.3,-0.20,"15,393",-1170,2378,3691
"2,868,819,560",89.8,90.3,89.5,89.5,-0.80,"11,226",-226,-172,638
"2,843,694,825",90.4,90.4,89.0,89.0,-0.50,"12,438",356,-862,4597
"3,078,002,774",90.1,90.3,88.8,89.6,+0.60,"14,812",20,320,6573
"2,678,443,882",89.7,89.7,88.6,88.8,-0.80,"13,828",-291,-340,3114
"1,658,642,390",88.8,89.9,88.5,89.9,+1.10,"9,788",383,942,4045
"2,737,855,930",89.9,90.7,89.6,90.5,+0.60,"12,023",1198,364,2967
"3,211,508,172",90.8,91.0,90.1,90.7,+0.20,"16,612",-12,140,13147
"3,082,605,966",90.2,90.3,89.3,89.3,-1.40,"16,129",175,370,-17852
"3,343,082,943",88.9,90.0,88.0,89.9,+0.60,"18,104",-2,-612,-5859
"1,385,569,944",90.2,90.2,89.5,90.0,+0.10,"8,214",-654,-562,1971
"1,866,210,292",90.0,90.5,89.9,90.0, 0.00,"9,241",-31,795,6982
"1,594,078,973",89.9,90.4,89.7,90.1,+0.10,"7,119",286,-101,6646
"3,541,630,968",90.5,91.4,90.4,90.9,+0.80,"16,018",0,4015,12214
"4,271,848,230",91.3,91.4,91.0,91.4,+0.50,"15,014",-32,-1316,27183
"1,563,641,403",91.3,91.4,90.9,91.3,-0.10,"7,780",-10,-168,2465
"2,814,560,813",91.3,91.8,91.3,91.5,+0.20,"13,482",28,1158,9066
"2,221,365,653",90.8,91.5,90.5,91.5, 0.00,"11,261",-529,-1254,1456
"1,634,367,031",91.7,91.7,90.8,91.3,-0.20,"7,767",0,-213,745
"1,789,859,062",90.5,91.0,90.5,90.6,-0.70,"8,622",-140,-390,-3962
"2,655,857,538",90.0,91.0,89.8,90.5,-0.10,"9,238",-28,-1131,3913
"2,493,639,344",90.9,91.3,90.6,91.2,+0.70,"10,444",-296,-1199,11972
"2,153,907,567",91.7,91.8,91.0,91.5,+0.30,"9,941",-44,192,4868
"1,713,186,220",91.5,91.6,91.2,91.4,-0.10,"8,275",-20,-269,2125
"2,497,432,289",91.4,91.6,91.0,91.0,-0.40,"10,014",278,711,1086
"16,816,271,593",96.0,98.4,95.6,98.0,+7.00,"65,284",897,7214,74272
"6,306,242,440",98.2,98.6,96.7,97.3,-0.70,"28,196",13,-1403,13132
"6,103,584,140",97.0,97.7,95.2,96.1,-1.20,"26,829",156,829,3424
